iter	Passed	Remaining
0	139	138905
1	141	70565
2	143	47716
3	145	36302
4	147	29420
5	149	24838
6	151	21539
7	154	19096
8	156	17180
9	158	15645
10	159	14383
11	162	13338
12	163	12448
13	166	11692
14	168	11038
15	169	10450
16	171	9940
17	173	9484
18	175	9065
19	177	8708
20	179	8376
21	181	8079
22	183	7805
23	185	7556
24	187	7315
25	189	7099
26	191	6887
27	192	6691
28	194	6503
29	195	6329
30	197	6161
31	198	6004
32	199	5850
33	200	5707
34	202	5571
35	203	5443
36	204	5321
37	205	5199
38	206	5084
39	207	4977
40	208	4875
41	209	4780
42	210	4690
43	211	4601
44	212	4516
45	213	4434
46	214	4356
47	215	4281
48	216	4210
49	218	4142
50	219	4075
51	220	4011
52	221	3950
53	222	3890
54	223	3832
55	224	3777
56	225	3724
57	226	3673
58	227	3622
59	228	3574
60	229	3528
61	230	3484
62	231	3440
63	232	3397
64	233	3355
65	234	3322
66	235	3282
67	236	3238
68	237	3201
69	238	3164
70	239	3130
71	240	3095
72	241	3062
73	242	3030
74	243	2998
75	244	2967
76	245	2939
77	246	2911
78	247	2884
79	248	2857
80	249	2829
81	250	2803
82	251	2777
83	252	2752
84	253	2724
85	254	2699
86	254	2673
87	255	2650
88	256	2628
89	257	2606
90	258	2585
91	259	2564
92	260	2544
93	262	2525
94	263	2508
95	264	2490
96	265	2471
97	266	2451
98	267	2433
99	268	2415
100	269	2399
101	270	2378
102	271	2361
103	272	2345
104	273	2329
105	274	2314
106	275	2299
107	276	2283
108	277	2268
109	278	2253
110	279	2238
111	280	2224
112	281	2211
113	282	2196
114	283	2183
115	284	2168
116	285	2155
117	286	2142
118	287	2128
119	288	2116
120	289	2103
121	290	2090
122	291	2075
123	292	2063
124	293	2051
125	294	2039
126	295	2028
127	295	2014
128	296	2003
129	297	1992
130	298	1982
131	299	1970
132	300	1960
133	301	1950
134	302	1940
135	303	1931
136	305	1921
137	306	1911
138	306	1901
139	307	1891
140	309	1883
141	310	1873
142	311	1864
143	312	1854
144	313	1846
145	314	1837
146	315	1828
147	316	1820
148	317	1811
149	318	1803
150	319	1795
151	320	1786
152	321	1778
153	322	1770
154	323	1762
155	324	1755
156	325	1747
157	326	1739
158	327	1731
159	328	1723
160	329	1716
161	330	1708
162	331	1701
163	332	1694
164	333	1688
165	334	1681
166	335	1675
167	337	1671
168	338	1664
169	339	1657
170	340	1651
171	341	1644
172	342	1638
173	343	1631
174	344	1625
175	345	1618
176	346	1612
177	347	1607
178	349	1601
179	350	1594
180	350	1586
181	351	1580
182	352	1574
183	353	1568
184	354	1563
185	355	1557
186	356	1551
187	357	1545
188	358	1539
189	359	1534
190	361	1529
191	362	1523
192	363	1518
193	364	1512
194	365	1507
195	366	1502
196	367	1496
197	368	1491
198	369	1486
199	370	1481
200	371	1476
201	372	1471
202	373	1466
203	374	1461
204	375	1456
205	376	1451
206	377	1446
207	378	1441
208	379	1436
209	380	1431
210	381	1427
211	382	1422
212	383	1418
213	384	1413
214	385	1408
215	386	1404
216	387	1399
217	388	1395
218	389	1390
219	390	1385
220	391	1381
221	392	1377
222	393	1372
223	394	1367
224	395	1363
225	396	1359
226	397	1355
227	398	1350
228	399	1346
229	400	1342
230	402	1338
231	403	1334
232	404	1330
233	405	1326
234	406	1322
235	407	1318
236	408	1314
237	409	1310
238	410	1306
239	411	1302
240	412	1298
241	413	1294
242	414	1291
243	415	1287
244	416	1284
245	417	1280
246	418	1276
247	419	1273
248	420	1269
249	421	1265
250	422	1262
251	423	1258
252	424	1254
253	425	1250
254	426	1247
255	427	1243
256	429	1240
257	430	1237
258	431	1233
259	432	1230
260	433	1226
261	434	1222
262	435	1219
263	436	1215
264	437	1212
265	438	1209
266	439	1205
267	440	1202
268	441	1199
269	442	1195
270	443	1192
271	444	1189
272	445	1185
273	446	1182
274	447	1179
275	448	1176
276	449	1173
277	450	1170
278	451	1166
279	452	1163
280	453	1160
281	454	1157
282	455	1154
283	456	1151
284	457	1148
285	458	1145
286	460	1143
287	461	1140
288	462	1137
289	463	1134
290	464	1131
291	465	1128
292	466	1125
293	467	1123
294	468	1120
295	469	1117
296	470	1114
297	472	1111
298	473	1109
299	474	1106
300	474	1103
301	475	1100
302	477	1097
303	478	1094
304	479	1091
305	480	1088
306	481	1085
307	482	1083
308	483	1080
309	484	1077
310	485	1074
311	486	1071
312	487	1069
313	488	1066
314	489	1063
315	490	1061
316	491	1058
317	492	1055
318	493	1053
319	494	1050
320	495	1047
321	496	1044
322	497	1042
323	498	1039
324	499	1037
325	500	1034
326	501	1032
327	502	1029
328	503	1026
329	504	1024
330	505	1021
331	506	1019
332	507	1016
333	508	1014
334	509	1011
335	510	1008
336	511	1006
337	512	1003
338	513	1001
339	514	999
340	516	997
341	516	994
342	518	992
343	519	989
344	520	987
345	521	984
346	522	982
347	522	979
348	524	978
349	525	976
350	526	973
351	527	971
352	528	968
353	529	966
354	530	964
355	531	961
356	532	959
357	533	956
358	534	954
359	535	952
360	536	949
361	537	947
362	538	945
363	539	943
364	540	940
365	541	938
366	542	936
367	543	934
368	544	931
369	545	929
370	547	927
371	548	925
372	549	923
373	550	920
374	551	918
375	552	916
376	553	914
377	554	911
378	555	909
379	556	907
380	557	905
381	558	903
382	559	900
383	560	898
384	561	896
385	562	894
386	563	892
387	564	889
388	565	887
389	566	885
390	567	883
391	568	881
392	569	879
393	570	877
394	571	875
395	572	873
396	573	871
397	574	869
398	575	867
399	576	864
400	577	862
401	578	860
402	579	858
403	580	856
404	581	854
405	582	852
406	583	850
407	584	848
408	586	846
409	587	844
410	588	842
411	589	840
412	590	838
413	591	836
414	592	834
415	593	832
416	594	830
417	595	828
418	596	826
419	597	824
420	598	822
421	599	820
422	600	819
423	601	817
424	602	815
425	603	813
426	604	811
427	605	809
428	606	807
429	607	805
430	608	803
431	609	801
432	610	799
433	612	798
434	613	796
435	614	794
436	615	792
437	616	790
438	617	788
439	618	786
440	619	785
441	620	783
442	621	781
443	622	779
444	623	777
445	624	775
446	625	773
447	626	772
448	627	770
449	628	768
450	629	766
451	630	764
452	631	762
453	632	760
454	633	759
455	634	757
456	635	755
457	636	753
458	637	751
459	638	750
460	640	748
461	641	746
462	642	744
463	643	743
464	644	741
465	645	739
466	646	737
467	647	735
468	648	734
469	649	732
470	650	730
471	651	728
472	652	727
473	653	725
474	654	723
475	655	721
476	656	720
477	658	718
478	659	716
479	660	715
480	661	713
481	662	711
482	663	710
483	664	708
484	665	706
485	666	704
486	667	703
487	668	701
488	669	699
489	670	697
490	671	696
491	672	694
492	673	692
493	674	691
494	675	689
495	676	687
496	677	685
497	678	684
498	679	682
499	680	680
500	681	679
501	682	677
502	683	675
503	684	674
504	685	672
505	686	670
506	687	668
507	688	667
508	689	665
509	690	663
510	691	662
511	692	660
512	694	659
513	695	657
514	696	655
515	697	653
516	698	652
517	699	650
518	700	649
519	701	647
520	702	645
521	703	643
522	704	642
523	705	640
524	706	639
525	707	637
526	708	635
527	709	634
528	710	632
529	711	630
530	712	629
531	713	627
532	714	626
533	715	624
534	716	623
535	717	621
536	718	619
537	719	618
538	720	616
539	721	614
540	722	613
541	724	611
542	724	610
543	726	608
544	727	607
545	728	605
546	729	603
547	730	602
548	731	600
549	732	599
550	733	597
551	734	595
552	735	594
553	736	592
554	737	591
555	738	589
556	739	588
557	740	586
558	741	584
559	742	583
560	743	581
561	744	580
562	745	578
563	746	577
564	747	575
565	748	574
566	749	572
567	750	570
568	751	569
569	752	567
570	753	566
571	754	564
572	756	563
573	756	561
574	757	560
575	758	558
576	759	557
577	760	555
578	761	553
579	762	552
580	763	550
581	764	549
582	766	547
583	767	546
584	768	544
585	769	543
586	770	541
587	771	540
588	771	538
589	773	537
590	774	535
591	774	534
592	775	532
593	776	530
594	777	529
595	778	527
596	779	526
597	781	525
598	782	523
599	783	522
600	784	520
601	785	519
602	786	518
603	787	516
604	788	514
605	789	513
606	790	511
607	791	510
608	792	509
609	793	507
610	794	506
611	795	504
612	796	503
613	797	501
614	798	500
615	799	498
616	801	497
617	802	495
618	803	494
619	804	492
620	805	491
621	806	489
622	807	488
623	808	486
624	809	485
625	810	484
626	810	482
627	811	480
628	813	479
629	814	478
630	815	476
631	816	475
632	817	473
633	818	472
634	819	470
635	820	469
636	821	467
637	822	466
638	823	465
639	824	463
640	825	462
641	826	460
642	827	459
643	828	457
644	829	456
645	830	454
646	831	453
647	832	452
648	833	450
649	834	449
650	835	447
651	836	446
652	837	444
653	838	443
654	839	442
655	840	440
656	841	439
657	842	437
658	843	436
659	844	435
660	845	433
661	846	432
662	847	430
663	848	429
664	849	428
665	850	426
666	851	425
667	852	423
668	853	422
669	855	421
670	856	419
671	857	418
672	858	416
673	859	415
674	860	414
675	861	412
676	862	411
677	863	410
678	864	408
679	865	407
